City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Cambridge,7,3,167,13,180,896.4368251562796
Cambridge,8,1,475,57,535,2664.409452547831
Cambridge,8,2,533,63,597,2973.1821367683274
Cambridge,8,3,96,12,109,542.8422996779693
Cambridge,9,1,1116,132,1254,6245.176548588748
Cambridge,9,2,861,135,1001,4985.184788785755
Cambridge,9,3,737,138,879,4377.599829513166
Cambridge,10,1,903,94,999,4975.2243796173525
Cambridge,10,2,1009,93,1104,5498.145860958514
Cambridge,10,3,624,77,703,3501.083822693692
Cambridge,11,1,379,24,405,2016.9828566016292
Cambridge,11,2,938,118,1062,5288.97726842205
Cambridge,11,3,726,101,833,4148.510418639894
Canton,-,1,315,376,695,3152.7235430254577
Canton,-,2,475,435,912,4137.099095308226
Canton,-,3,330,377,709,3216.231643172733
Canton,-,4,386,523,913,4141.635388175889
Canton,-,5,357,435,800,3629.0342941300228
Canton,-,6,363,354,724,3284.2760361876713
Carlisle,-,1,919,685,1614,4852.0
Carver,-,1,204,366,575,3395.4207285787584
Carver,-,2,210,355,568,3354.0851718830168
Carver,-,3,302,496,806,4759.494099538225
Charlemont,-,1,174,100,275,1266.0
Charlton,-,1,174,361,536,3349.935483870968
Charlton,-,2,147,371,522,3262.437168993741
Charlton,-,3,159,364,526,3287.4366875300916
Charlton,-,4,133,358,493,3081.1906596052
Chatham,-,1,1030,1403,2445,6125.0
Chelmsford,-,1,429,513,947,4119.7546975546975
Chelmsford,-,2,289,337,628,2732.002059202059
Chelmsford,-,3,362,512,880,3828.2831402831403
Chelmsford,-,4,229,381,614,2671.0975546975546
Chelmsford,-,5,358,451,815,3545.512226512227
Chelmsford,-,6,392,542,935,4067.5508365508367
Chelmsford,-,7,451,623,1080,4698.347490347491
Chelmsford,-,8,420,508,932,4054.4998712998713
Chelmsford,-,9,417,516,939,4084.952123552124
Chelsea,1,1,90,27,122,1555.4889452700254
Chelsea,1,2,60,19,81,1032.742660384197
Chelsea,1,3,106,16,122,1555.4889452700254
Chelsea,1,4,86,10,97,1236.7412105835447
Chelsea,2,1,292,127,431,5495.210945994925
Chelsea,2,2,105,18,130,1657.488220369699
Chelsea,2,3,75,12,89,1134.741935483871
Chelsea,2,4,92,15,107,1364.240304458137
