City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Chicopee,4,B,707,522,"1,240",
Chicopee,5,A,665,584,"1,269",
Chicopee,5,B,671,575,"1,256",
Chicopee,6,AN,187,205,401,
Chicopee,6,AS,405,421,835,
Chicopee,6,BE,555,824,"1,396",
Chicopee,6,BW,138,133,274,
Chicopee,7,A,631,341,987,
Chicopee,7,B,572,422,"1,019",
Chicopee,8,A,709,650,"1,380",
Chicopee,8,B,639,580,"1,241",
Chicopee,9,A,706,609,"1,333",
Chicopee,9,B,800,827,"1,638",
Chilmark,-,1,554,176,738,
Clarksburg,-,1,518,334,865,
Clinton,-,1,838,879,"1,725",
Clinton,-,2,785,780,"1,577",
Clinton,-,3,784,855,"1,654",
Clinton,-,4,849,743,"1,610",
Cohasset,-,1,929,"1,572","2,512",
Cohasset,-,2,965,"1,435","2,406",
Colrain,-,1,563,324,893,
Concord,-,1,"1,280",845,"2,137",
Concord,-,2,"1,578",868,"2,462",
Concord,-,3,"1,483",932,"2,433",
Concord,-,4,"1,499",929,"2,436",
Concord,-,5,924,658,"1,587",
Conway,-,1,880,374,"1,260",
Cummington,-,1,369,168,538,
Dalton,-,1,"1,084",600,"1,699",
Dalton,-,2,"1,084",614,"1,718",
Danvers,-,1,830,985,"1,824",
Danvers,-,2,804,"1,025","1,836",
Danvers,-,3,692,974,"1,675",
Danvers,-,4,736,"1,107","1,853",
Danvers,-,5,821,"1,208","2,047",
Danvers,-,6,714,"1,272","1,998",
Danvers,-,7,723,"1,105","1,838",
Danvers,-,8,632,929,"1,567",
Dartmouth,-,1,935,997,"1,945",
Dartmouth,-,2,719,588,"1,312",
Dartmouth,-,3,560,236,803,
Dartmouth,-,4,"1,041",768,"1,825",
Dartmouth,-,5,"1,070",933,"2,016",
Dartmouth,-,6,992,642,"1,655",
Dartmouth,-,7,951,987,"1,955",
Dartmouth,-,8,"1,263","1,007","2,289",
Dartmouth,-,9,"1,220","1,160","2,399",
Dedham,-,1,"1,071",962,"2,052",
Dedham,-,2,"1,026",968,"2,008",
Dedham,-,3,938,811,"1,763",
Dedham,-,4,919,949,"1,877",
Dedham,-,5,884,"1,075","1,967",
Dedham,-,6,"1,025","1,030","2,077",
Dedham,-,7,852,"1,156","2,022",
Deerfield,-,1,"1,940","1,073","3,036",
Dennis,-,1,892,"1,096","1,993",
Dennis,-,2,994,"1,121","2,130",
Dennis,-,3,815,795,"1,624",
Dennis,-,4,907,966,"1,881",
Dennis,-,5,810,873,"1,694",
Dighton,-,1,745,"1,086","1,846",
Dighton,-,2,767,"1,054","1,840",
Douglas,-,1,494,"1,063","1,562",
Douglas,-,2,491,"1,084","1,586",
Douglas,-,3,477,913,"1,396",
Dover,-,1,"1,285","2,292","3,593",
Dracut,-,1,553,798,"1,358",
Dracut,-,2,561,863,"1,440",
Dracut,-,3,617,"1,121","1,782",
Dracut,-,4,596,"1,337","1,937",
Dracut,-,5,573,"1,056","1,635",
Dracut,-,6,662,"1,011","1,689",
Dracut,-,6A,30,38,69,
Dracut,-,7,603,909,"1,524",
Dracut,-,8,673,"1,451","2,131",
Dracut,-,9,631,"1,110","1,754",
Dudley,-,1,778,"1,202","1,989",
Dudley,-,2,671,966,"1,642",
Dudley,-,3,608,870,"1,487",
Dunstable,-,1,707,"1,184","1,901",
Duxbury,-,1,619,"1,079","1,709",
Duxbury,-,2,574,"1,136","1,714",
Duxbury,-,3,544,960,"1,512",
Duxbury,-,4,577,"1,004","1,586",
Duxbury,-,5,596,977,"1,580",
Duxbury,-,6,589,964,"1,598",
E. Bridgewater,-,1,659,"1,108","1,782",
E. Bridgewater,-,2,637,"1,201","1,846",
E. Bridgewater,-,3,743,"1,249","2,000",
E. Bridgewater,-,4,639,"1,086","1,738",
E. Brookfield,-,1,390,762,"1,157",
E. Longmeadow,-,1,843,"1,338","2,201",
E. Longmeadow,-,2,867,"1,167","2,049",
E. Longmeadow,-,3,821,"1,332","2,167",
E. Longmeadow,-,4,800,"1,525","2,343",
Eastham,-,1,"2,010","1,676","3,702",
Easthampton,-,1,"1,115",659,"1,788",
Easthampton,-,2,"1,157",539,"1,707",
Easthampton,-,3,"1,119",521,"1,659",
Easthampton,-,4,"1,315",624,"1,952",
Easthampton,-,5,"1,034",926,"1,973",
Easton,-,1,409,730,"1,145",
Easton,-,2,927,"1,298","2,243",
Easton,-,3,837,"1,176","2,023",
Easton,-,4,865,"1,371","2,251",
Easton,-,5,963,"1,339","2,318",
Easton,-,6,857,"1,298","2,166",
Edgartown,-,1,"1,511","1,048","2,584",
Egremont,-,1,625,205,844,
Erving,-,1,476,298,778,
Essex,-,1,958,"1,208","2,180",
